"timestamp","title","price","market","surface","location","remote_support","lighting","advertiser_type","description","no_of_rooms","form_of_property","url","is_for_sale","posting_id"
"2023-09-04","Radom / os. Ustronie / 3 pokoje / do odświeżenia","350000","market,secondary","59.32","Radom, mazowieckie","null","null","agency","- - - Kupujący nie płaci prowizji - - -Do sprzedania trzy-pokojowe mieszkanie zlokalizowane na czwartym piętrze w czteropiętrowym bloku przy ul. Osiedlowej (os. Ustronie)Ekspozycja na Północ/ PołudnieMieszkanie do wejścia lub odświeżenia.Standard:Ściany: gładź, glazura, strukturaPodłogi: terakota, panel, deska barlinecka, linoleumOkna: PCV i drewniane (nowego typu)Drzwi: drewnianeŁazienka: wanna, umywalka, wc osobnoKuchnia: Meble, płyta gazowa, piekarnik elektryczny, zlewozmywak, lodówka, okapCzynsz 430 złOgrzewanie oraz ciepła woda z sieci miejskiej.Do mieszkania przynależy piwnica oraz balkon.Cena do negocjacji.Zapraszam do obejrzenia.Adresy naszych biur:---Łużyczan 10 lok. 6 (wjazd od Nałęczowskiej)20-830 LUBLIN---Rynek 1026-610 RADOM------Nasze biuro zapewnia pomoc przy kredytowaniu nieruchomości (możliwość wyboru oferty ponad 20 banków).---Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()","3","pełna własność","https://www.otodom.pl/pl/oferta/radom-os-ustronie-3-pokoje-do-odswiezenia-ID4hFJH","true","4hFJH"
"2023-09-04","Sprzedam 2 pok bezczynszowe mieszkanie w Tucholi","219000","market,secondary","69.95","ul. Główna, Tuchola, Tuchola, tucholski, kujawsko-pomorskie","null","null","agency","Sprzedam mieszkanie 2-pokojowe zlokalizowane w Tucholi przy ul. Głównej (województwo kujawsko-pomorskie).Mieszkanie znajduje się na 1 piętrze, przeznaczone do odświeżenia i własnej aranżacji.  Na podłogach: w przedpokoju płytki, w pokojach panele. W cenie nieruchomości wyposażenie kuchni - szafki oraz lodówka. Zdecydowanie największym atutem nieruchomości jest fakt, że to mieszkanie bezczynszowe, co oznacza, że nowy Właściciel nie będzie musiał płacić czynszu do wspólnoty/ spółdzielni mieszkaniowej oraz opłat związanych z utrzymaniem części wspólnych.  Jedyny koszt jaki ponosi Właściciel to koszty wynikające ze zużycia mediów. Mieszkanie składa się z 2 pokoi (ok. 26m2, ok. 21 m2), łazienki (ok. 6m2), przedpokoju (ok. 7,1m2) oraz osobnej widnej kuchni (ok. 9,75 m2). Całość o łącznej powierzchni 69,95 m2.Mieszkanie ogrzewane jest piecem gazowym dwu-funkcyjnym (ogrzewanie + ciepła woda). Dodatkowo w salonie znajduje się kominek z wyprowadzoną na poddasze turbiną. Turbina kominkowa zasilana ciepłem wytwarzanym przez kominek umożliwia ogrzewanie całych pomieszczeń. Do mieszkania przynależy budynek gospodarczy z dwoma pomieszczeniami o pow. 15,35m2 oraz 15,64 m2 zlokalizowany od strony podwórza -idealne miejsce np. dla majsterkowiczów lub do przechowywania jednośladów. Na terenie posesji znajduje się miejsce do składowania drewna do kominka.Dodatkowo w ramach części wspólnych nowy Właściciel będzie mógł korzystać z poddasza, które jest dostępne dla wszystkich lokatorów.Uwaga!Kupując to mieszkanie otrzymasz od nas bon na zrealizowanie projektu kuchni/łazienki za 1zł oraz nawet 10 000zł premii na zakupy w markecie budowlanym!Bory Tucholskie to jeden z największych kompleksów leśnych w Polsce oraz kraina najczystszych rzek i jezior. Rejon Tucholi jest bardzo atrakcyjny turystycznie.Perfekcyjna lokalizacja dla osób lubiących aktywnie spędzać czas - okoliczne jeziora oraz lasy są idealne na spacery, wędkowanie, grzybobrania czy przejażdżki rowerowe.Serdecznie zapraszam na prezentację.Iwona HincaBroker Nieruchomościtel. kom.: 732 828 067e-mail: Freedom Nieruchomości Sp. z o.o. Oddział w Chojnicach | 89-620 Chojnice, ul. Pocztowa 20 lok.7tel.: 58 351 30 01 | Zapewniam Państwu pomoc w załatwieniu wszelkich formalności związanych z transakcją.Istnieje możliwość pomocy w uzyskaniu kredytowania na zakup nieruchomości.Prezentacja nieruchomości wiąże się z obowiązkiem podania swoich danych: imię i nazwisko oraz PESEL, a także podpisu na karcie odbioru adresu.Do transakcji należy doliczyć 2% podatku PCC i taksę notarialną.""Właścicielem ogłoszenia wraz z jego elementami jest Freedom Nieruchomości Sp. z o.o. lub podmioty współpracujące. Wszelkie prawa zastrzeżone. Kopiowanie, rozpowszechnianie oraz korzystanie z niniejszych materiałów w jakikolwiek inny sposób wykraczający poza dozwolony użytek określony przepisami ustawy z 4 lutego 1994 r. o prawie autorskim i prawach pokrewnych (Dz. U. 1994, nr 24 poz. 83 z późn. zm.) bez pisemnej zgody Freedom Nieruchomości Sp. z o.o. lub podmiotów współpracujących jest zabronione i może stanowić podstawę odpowiedzialności cywilnej oraz karnej.Ponadto niniejsze materiały stanowią tajemnicę przedsiębiorstwa Freedom Nieruchomości Sp. z o.o. lub podmiotów współpracujących w rozumieniu ustawy z dnia 16 kwietnia 1993 r. o zwalczaniu nieuczciwej konkurencji (Dz. U. z 2003 r., Nr 153, poz. 1503 z późn. zm.). Niniejsze ogłoszenie nie stanowi oferty w rozumieniu Kodeksu Cywilnego, lecz ma charakter informacyjny.""""Właścicielem ogłoszenia wraz z jego elementami jest Freedom Nieruchomości Sp. z o.o. lub podmioty współpracujące. Wszelkie prawa zastrzeżone. Kopiowanie, rozpowszechnianie oraz korzystanie z niniejszych materiałów w jakikolwiek inny sposób wykraczający poza dozwolony użytek określony przepisami ustawy z 4 lutego 1994 r. o prawie autorskim i prawach pokrewnych (Dz. U. 1994, nr 24 poz. 83 z późn. zm.) bez pisemnej zgody Freedom Nieruchomości Sp. z o.o. lub podmiotów współpracujących jest zabronione i może stanowić podstawę odpowiedzialności cywilnej oraz karnej.Ponadto niniejsze materiały stanowią tajemnicę przedsiębiorstwa Freedom Nieruchomości Sp. z o.o. lub podmiotów współpracujących w rozumieniu ustawy z dnia 16 kwietnia 1993 r. o zwalczaniu nieuczciwej konkurencji (Dz. U. z 2003 r., Nr 153, poz. 1503 z późn. zm.). Niniejsze ogłoszenie nie stanowi oferty w rozumieniu Kodeksu Cywilnego, lecz ma charakter informacyjny.""","2","pełna własność","https://www.otodom.pl/pl/oferta/sprzedam-2-pok-bezczynszowe-mieszkanie-w-tucholi-ID4inHn","true","4inHn"
"2023-09-04","Racławicka Platinum | mieszkanie 3-6","654192","market,primary","51.92","ul. Racławicka, Grabiszynek, Fabryczna, Wrocław, dolnośląskie","null","null","developer","
2-pokojowe mieszkanie położone na 1 piętrze w inwestycji Racławicka Platinum Wrocław Grabiszynek ( Grabiszyn ) ul. Racławicka / ul.Rusznikarska. 
to wyjątkowy lokal o powierzchni 51,92 m kw.  
Cechą inwestycji jest wysoki standard i świetna lokalizacja. Zapraszamy do zapoznania się z ofertą i do kontaktu.


Inwestycja mieszkaniowo-usługowa Racławicka Platinum to wyjątkowy projekt w doskonałej lokalizacji  Wrocław Grabiszynek ( Grabiszyn )  - najbardziej pożądanym i zielonym osiedlu Wrocławia. Zakończenie budowy: 31.03.2024r.Racławicka Platinum - nowoczesna architektura nawiązująca do tradycji modernistycznych, budynek w standardzie premium z przemyślanymi i funkcjonalnymi rozwiązaniami architektonicznymi. Jasna elewacja łącząca cegłę klinkierową i tynk silikonowy z dużymi oknami w kolorze grafitowym, dopełniają całości atrakcyjnego efektu.ATUTY INWESTYCJI:KomfortZaprojektowana zieleń wokół budynku, tarasy wykończone płytą gresową, a trawa z rolki w ogródkach. W mieszkaniach dwupoziomowych prefabrykowane schodyBezpieczeństwoDrzwi wejściowe antywłamaniowe kl. CRolety zewnętrzne z napędem elektrycznym w mieszkaniach na parterze  Videofon; Monitorowany garaż podziemny  EkooszczędnośćEnergooszczędne okna trzyszybowe, nawiewniki okienne z systemem antysmogowymRetencja wody opadowej, automatyczne podlewanie zieleni wspólnejJakośćElewacja z elementami cegły klinkierowejOświetlenie i gniazdo elektryczne na balkonie, ogródku
Zewnętrzny kran w ogródkach na parterzeKameralna zabudowa z nowymi mieszkaniami o metrażach od 36m2 do 117 m2, zarówno jedno- jak i dwupoziomowymi, gdzie każde z nich posiada dodatkową przestrzeń w postaci balkonu, dużego tarasu lub ogródka w parterze. Części wspólne z indywidualnie zaprojektowanymi klatkami schodowymi i nowoczesnymi cichymi windami charakteryzować się będą wyjątkową elegancją.Wygodne parkowanie samochodu umożliwią miejsca postojowe w monitorowanym garażu podziemnym. Dla rowerów przygotujemy liczne stojaki. W parterze budynku znajdować się będą lokale usługowe. Racławicka Platinum to gwarancja codziennego komfortu","2","pełna własność","https://www.otodom.pl/pl/oferta/raclawicka-platinum-mieszkanie-3-6-ID4iKtI","true","4iKtI"
"2023-09-04","Sosnowiec, mieszkanie z tarasem 9m2 Stary Browar","393924","market,primary","57.93","ul. ks. Jerzego Popiełuszki, Zagórze Północ, Sosnowiec, śląskie","null","null","agency","П родаж нових квартир. Статус розробника. Різні розміри. Чудове розташування.Oferta bezpośrednia - biuro sprzedaży Dewelopera ZMIROB.Stary Browar - I etap3M10 - mieszkanie o powierzchni 57,93 m2, 1 piętro, 2 pokoje + 9 m2 tarasu. Zapraszamy do zapoznania się z naszą inwestycją wielorodzinną, gdzie kończymy sprzedaż I etapu - budynku nr 3 - kt&oacute;ry jest już ukończony.Wkr&oacute;tce w sprzedaży kolejny etap - budynek nr 4.W budynku nr 3 znajdują się  24 mieszkania o metrażach od 32 m2 do 93 m2 z balkonem, tarasem lub ogr&oacute;dkiem. Istnieje możliwość zakupu kom&oacute;rki lokatorskiej oraz indywidualnego garażu na poziomie 0, z bramą otwieraną na pilota.Termin oddania do użytkowania przewidziany jest na 30.09.2023 r.OPIS INWESTYCJI Apartamenty Stary Browar to niezwykle kameralna inwestycja w dzielnicy Zag&oacute;rze w Sosnowcu przy ulicy ks. Jerzego Popiełuszki. Osiedle obejmuje cztery nowoczesne apartamentowce, każdy o czterech kondygnacjach mieszkalnych. Łącznie będzie to 138 mieszkań. Każdy z budynk&oacute;w będzie posiadał kom&oacute;rki lokatorskie, windę oraz indywidualne garaże na poziomie 0, a dodatkowo w budynkach 1 i 2 będą miejsca postojowe w garażu podziemnym. Ponadto, do dyspozycji mieszkańc&oacute;w, będą bezpłatne miejsca postojowe miejsca naziemne.Mieszkania wykończone zostaną w standardzie deweloperskim. Ogrzewanie miejskie, woda ciepła z sieci (brak gazu).Teren nowo powstającego osiedla jest spokojną enklawą, otoczoną drzewami i terenami zielonymi, co daje dodatkowe poczucie intymności. Na terenie inwestycji znajduje się niewielki staw, kt&oacute;ry zostanie ogrodzony i pięknie zagospodarowany.LOKALIZACJAOsiedle Stary Browar usytuowane zostanie w p&oacute;łnocno-zachodniej części Sosnowca &ndash; w dzielnicy Zag&oacute;rze, na granicy z dzielnicą Środula oraz Dąbrową G&oacute;rniczą. Nieodzownymi atutami tego osiedla jest bliskość teren&oacute;w zielonych, centrum miasta, jak r&oacute;wnież szybki wylot na trasę nr 94.Osoby lubiące aktywny wypoczynek ucieszy bliskość Lasku Zag&oacute;rskiego (1,5 km) oraz G&oacute;rki Środulskiej (2 km), gdzie znajduje się, między innymi, wyciąg narciarski. W pobliskim Parku Środula, opr&oacute;cz licznych ścieżek rowerowych, siłowni plenerowej, park&oacute;w zabaw dla dzieci, czy ogrodu jordanowskiego, powstaje nowoczesny Multipark (stadion zimowy, stadion piłkarski, hala sportowa). W niedalekiej odległości znajduje się r&oacute;wnież centrum fitness.W odległości 850 metr&oacute;w od inwestycji Stary Browar znajduje się najbliższy punkt komunikacyjny - Zag&oacute;rze Mec.W pobliżu szpital, liczne sklepy, restauracje, plac&oacute;wki edukacyjne160 m - żłobek &bdquo;Kraina Odkrywcy&rdquo;500 m &ndash; SP nr 9400 m &ndash; LO nr IX650 m &ndash; Przedszkole &bdquo;Akademia Pana Kleksa&rdquo;Nie musisz czekać na zakończenie budowy, aby wybrać swoje wymarzone mieszkanie. Już dziś możesz obejrzeć całą listę mieszkań, zobaczyć ich położenie, wizualizacje, skorzystać z wirtualnego spaceru po każdym lokalu, czy też zobaczyć jaki będzie widok z okna Twojego wybranego mieszkania.Nieruchomość obecnie nie posiada certyfikatu energetycznego.  Kupujący nie płaci PCC ani prowizji!Szczegóły dotyczące inwestycji udzieli:Biuro sprzedaży mieszkań dewelopera ZMIROBDominika +4████████5 672Sosnowiec, ul. ks. Jerzego Popiełuszki (koło numeru 30)Marzena Świerkosz +4████████5 674Biuro Nieruchomości ASTON oddział Tychy, ul. Bocheńskiego 19Udzielamy BEZPŁATNYCH porad w zakresie nieruchomości.Niespodzianka dla naszych klientów - rabaty w sklepach budowlanych i projekt łazienki lub kuchni za 1 złZapraszamy do naszych oddziałów:Tychy, ul. Ojca Bocheńskiego 19, tel. +4██████████2 77Katowice, ul. Rolna 46 a, tel. +4██████████2 78Kraków, Os. Niepodległości k/11, tel. +4████████1 231Beskidy tel. +4████████3 300Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.","2","pełna własność","https://www.otodom.pl/pl/oferta/sosnowiec-mieszkanie-z-tarasem-9m2-stary-browar-ID4hirJ","true","4hirJ"
"2023-09-04","Segmenty na sprzedaż w Karolinie - ostatni lokal!","590000","market,primary","81.48","ul. Zuzanny Małaszczyckiej, Wólka Mińska, Mińsk Mazowiecki, miński, mazowieckie","true","null","private","Segmenty na sprzedaż w Karolinie/k. Mińska Mazowieckiego - ostatni dostępny lokal!

Zapraszamy do zapoznania się z inwestycją firmy Arte Development położonej w znakomitej lokalizacji w miejscowości Karolina, na pograniczu Mińska Mazowieckiego.

Osiedle Harmonia składa się z dziesięciu lokali bezczynszowych w zabudowie szeregowej położonych na zamkniętym osiedlu. Każdy segment posiada 81,48 m2 powierzchni w bardzo funkcjonalnym rozmieszczeniu. Na paterze znajdziemy salon z aneksem kuchennym i wyjściem do ogrodu, łazienkę, wiatrołap oraz spiżarnię. Na piętrze znajdują się trzy sypialnie oraz druga łazienka. Do dyspozycji mieszkańców oddajemy również poddasze, które dodatkowo zwiększa w znaczący sposób przestrzeń do zagospodarowania każdego mieszkania. Istnieje opcja przedłużenia klatki schodowej na poddasze, co zwiększy całość o ok. 20m2 powierzchni użytkowej!!! Niewątpliwym atutem jest przynależny do każdego segmentu ogródek. Na terenie osiedla znajduje się parking dla mieszkańców, do każdego mieszkania przynależą dwa miejsca postojowe.

Osiedla Harmonia znajduje się pod adresem: Karolina, ul. Zuzanny Małaszczyckiej 162.
Poniżej podajemy odległości przykładowych kluczowych miejsc dla codziennego życia.
- wjazd na autostradę A2: 3,7 km
- Zespół Szkół nr 1 w Mińsku Mazowieckim - 1,2 km
- Szkoła Podstawowa nr 3 im. Jana Pawła II - 1,5 km- Przedszkole Miejskie - 1,7 km
- Kościół Matki Bożej Dobrej Rady w Wólce Mińskiej - 1km
- Centrum Mińska Mazowieckiego - 2,4 km

Budowa inwestycji zakończyła się. Planowany termin odbiorów to maj 2023 r. Lokale zostaną oddane w stanie deweloperskim a budowa była prowadzona technologią tradycyjną.

Aktualna cena segmentu to 590 tyś. zł brutto.

Generalnym wykonawcą inwestycji jest renomowana i ceniona firma Tom-Bud S.C. z Mińska Mazowieckiego.

Zapraszamy do umówienia spotkania,
Arte Development sp. z o. o.","4","null","https://www.otodom.pl/pl/oferta/segmenty-na-sprzedaz-w-karolinie-ostatni-lokal-ID4kQpd","true","4kQpd"
"2023-09-04","Słoneczne dwa poziomy w Dąbiu","749000","market,secondary","79.9","ul. Kurpiów, Dąbie, Prawobrzeże, Szczecin, zachodniopomorskie","null","null","agency","Komfortowe, dwupoziomowe mieszkanie w dzielnicy Dąbie. Na pierwszym poziomie salon z aneksem kuchennym, dwie sypialnie, łazienka i schowek. Na drugim poziomie antresola, pokój i garderoba. Z salonu wyjście na zadaszony taras. Salon otwarty na dwie kondygnacje tworzy z antresolą nowoczesną, jasną przestrzeń. Mieszkanie o czytelnym i funkcjonalnym rozkładzie może stanowić wygodny dom dla rodziny. Całość wykończona ze smakiem i dobrze utrzymana. Ogrzewanie i ciepła woda z lokalnej kotłowni. Opłaty eksploatacyjne  na rozsądnym poziomie. Możliwość dokupienia garażu pod budynkiem. Teren nieruchomości zadbany i ogrodzony. Budynek zlokalizowany na skraju lasu. W pobliżu pętla autobusowa (linie lokalne, linia C do pl. Rodła (20min.), linia nocna 522). Wyjątkowa nieruchomość w wyjątkowym miejscu. Gorąco polecam! Świadectwo charakterystyki energetycznej - zapotrzebowanie na energię: EU - użytkową (kWh/m2*rok): 72.69; EK - końcową (kWh/m2*rok): 96.89; EP - nieodnawialną energię pierwotną (kWh/m2*rok): 106.58; EC02 - Wielkość emisji CO2 (t C02/m2*rok): 0.02; UOZE - Udział odnawialnych źródeł energii w zapotrzebowaniu na energię końcową [%]: 0.00; Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()","4","pełna własność","https://www.otodom.pl/pl/oferta/sloneczne-dwa-poziomy-w-dabiu-ID4lKBp","true","4lKBp"
"2023-09-04","UROKLIWY dom w MALOWNICZEJ OKOLICY! 600 M JEZIORO!","355000","market,secondary","55.83","Rościnno, Skoki, wągrowiecki, wielkopolskie","true","null","agency","Serdecznie zapraszamy do oglądania!
Atrakcyjna cena za obszerny wolnostojący dom zlokalizowany w Rościnnie nieopodal miejscowości Skoki, duża powierzchnia działki oraz jej urokliwe otoczenie stwarzają idealne warunki do spędzania czasu na świeżym powietrzu, organizowania spotkań z rodziną i przyjaciółmi oraz cieszenia się pięknem natury.
Dom jest wzniesiony z dbałością o wszystkie detale i wykończony z wysokiej jakości materiałów. Wygląd zewnętrzny wyróżnia się pięknym połączeniem naturalnych elementów, takich jak drewno i kamień, co nadaje mu przytulny i harmonijny wygląd.
Główne atuty nieruchomości: 
• Nowe budownictwo,• Pięknie zaaranżowana działka,• Bliska odległość od Jeziora Budziszewskiego ok. 600m.
Nieruchomość złożona z:
• Salon 23,87 m2,• Pokój 6,91 m2,• Pokój 6,91 m2,• Łazienka 2,82 m2,• Przedsionek/Jadalnia 13,55 m2.
Piętro:
• Antresola 2,77 m2.
Istotne informacje:
• Pośrednik odpowiedzialny za transakcję Michał Araszkiewicz numer licencji zawodowej: 28474,• Oferta dostępna wyłącznie w naszym biurze,• Bezpłatnie pomagamy w uzyskaniu kredytu hipotecznego,• Powyższa oferta ma charakter informacyjny i nie stanowi oferty w rozumieniu art.66 § 1 kodeksu cywilnego oraz innych właściwych przepisów prawnych.","3","null","https://www.otodom.pl/pl/oferta/urokliwy-dom-w-malowniczej-okolicy-600-m-jezioro-ID4mkA4","true","4mkA4"
"2023-09-04","Rewal ul. Klifowa 22 | apartament 1-pok. | C.2.1","425340","market,primary","25.02","ul. Klifowa, Rewal, Rewal, gryficki, zachodniopomorskie","null","null","developer","Przedmiotem ogłoszenia jest 1-pokojowe mieszkanie numer C.2.1 położone na 2. piętrze w inwestycji Klifowa 22. To wyjątkowy lokal o powierzchni 25,02 m kw. Cechą inwestycji jest wysoki standard i świetna lokalizacja.
O inwestycji
Apartamenty na sprzedaż w pierwszej linii brzegowej!
Z przyjemnością przedstawiamy nową inwestycję w Rewalu ul. Klifowa 22
Oferujemy wyjątkowe apartamenty w pierwszej linii brzegowej z bezpośrednim widokiem na morze. Apartamenty zostały zaprojektowane z myślą o najwyższym standardzie życia i komforcie. Ich nowoczesna architektura doskonale współgra z otaczającym krajobrazem, tworząc harmonijną atmosferę. Każdy apartament został zaprojektowany z myślą o maksymalnym komforcie mieszkańców. Lokale posiadają duże i szerokie tarasy, doskonale doświetlone dzięki dużym oknom, które zapewniają naturalne światło i piękne widoki. Inwestycja składa się z trzech budynków, skomunikowanych ze sobą. Dysponujemy trzema rodzajami apartamentów. Lokale z frontowym widokiem na morze, z bocznym widokiem oraz od strony południowej bez widoku na morze. Zakup apartamentu w naszej inwestycji może być dobrą inwestycją i formą lokaty kapitału z możliwością zarabiania na wynajmie przez cały rok.

Dostępne powierzchnie apartamentów od 25m2 do 57m2.
Planowane zakończenie budowy II kwartał 2025r.
Podane ceny apartamentów są cenami netto.
Istnieje możliwość zakupu miejsca postojowego naziemnego.

O lokalizacji
Lokalizacja inwestycji jest doskonała dla miłośników morza i plażowych atrakcji. Rewal jest popularnym miejscem wypoczynku zarówno dla turystów krajowych, jak i zagranicznych. Zaledwie kilka kroków dzieli apartamenty od pięknej plaży, gdzie można cieszyć się relaksującymi spacerami, kąpielami w morzu czy opalaniem się na słońcu. W okolicy znajdują się również restauracje, kawiarnie i sklepy.
Zapraszamy do kontaktu oraz do biur sprzedaży w Szczecinie oraz na terenie inwestycji w Rewalu.","1","pełna własność","https://www.otodom.pl/pl/oferta/rewal-ul-klifowa-22-apartament-1-pok-c-2-1-ID4m854","true","4m854"
"2023-09-04","Sopot - wyjątkowe mieszkanie na poddaszu.","999000","market,secondary","137","al. Niepodległości, Górny Sopot, Sopot, pomorskie","null","null","agency","Na sprzedaż oferujemy nietuzinkową nieruchomość, która mieści się na 3 piętrze w kamienicy wzniesionej w 1901 roku przy skrzyżowaniu z kultowym deptakiem Bohaterów Monte Cassino.Ogólny stan całej nieruchomości jest dobry, a w najbliższym czasie przejdzie ona remont dachu, klatki schodowej, a także zyska nową elewację. Wejście do klatki schodowej zabezpieczone jest domofonem. W pobliżu nieruchomości znajdziemy ogólnodostępne miejsca postojowe.Całość o powierzchni ok 137 m2, idealna dla osób, które chcą zaaranżować mieszkanie na własne potrzeby. Przykładowy podział znajduje się na rzucie. Istnieje możliwość nabycia lokalu na 2 piętrze i stworzenie dużej przestrzeni.Mieszkanie posiada balkon oraz wieżyczkę. Niskie koszty eksploatacyjne.Zapraszam na prezentację!KUP Z NAMI - KORZYSTNIE I BEZPIECZNIE!- 0% prowizji od Kupującego (dotyczy ofert oznaczonych znaczkiem KUP bez prowizji) i żadnych dodatkowych lub ukrytych kosztów- gwarantujemy bezpieczny zakup i najlepszą cenę- oferujemy skuteczną i bezpłatną pomoc w uzyskaniu kredytu- zapewniamy fachowe doradztwo przy zakupie pod inwestycję","4","pełna własność","https://www.otodom.pl/pl/oferta/sopot-wyjatkowe-mieszkanie-na-poddaszu-ID4hSLN","true","4hSLN"
"2023-09-04","Słoneczny Apartament Energooszczędny","510000","market,secondary","75","Tarnowskie Góry, tarnogórski, śląskie","true","null","agency","NOWOCZESNY ENERGOOSZCZĘDNY APARTAMENT Z FOTOWOLTAIKĄ!KAMERALNE OSIEDLE 6 NOWYCH APARTAMENTÓW W ZABUDOWIE SZEREGOWEJ W TARNOWSKICH GÓRACH.Mieszkania charakteryzują się bardzo niskimi kosztami eksploatacji oraz funkcjonalnością.67m2 (plus klatka schodowa ok. 8m2) - składa się z wiatrołapu, klatki schodowej, pokoju dziennego z aneksem kuchennym, dwóch sypialni, garderoby (możliwość zrobienia małego pokoju/gabinetu - pomieszczenie z oknem), łazienki oraz przedpokoju. Do mieszkania przynależy duży balkon o powierzchni 14m2.
Do mieszkania przypisane są dwa miejsca parkingowe.W cenie mieszkania zabudowa kuchenna wraz ze sprzętem tj. zmywarka, piekarnik, okap, płyta indukcyjna, lodówka, włazience pozostają meble oraz pralka.Budynek wykonany jest z najwyższej jakości materiałów:- elewacja styropianowa z tynkiem STO- prefabrykowana konstrukcja ścienna- wełna mineralna 16cm. Knauf- płyty OSB bez folmaldehydu- płyty GK ognioochronne- okna pasywne ( trójszybowe, U mniejsze od 0,8)- rolety antywłamaniowe sterowane elektrycznie- nowoczesne drzwi wejściowe MIKEA- budynki oddzielone są dylatacją (nie przenoszą się dźwięki z sąsiedniego budynku)- dach pokryty jest membraną PCV- wszystkie mieszkania posiadają ogrzewanie elektryczne i zbiorniki na ciepłą wodę ATLANTIC.- wybrukowane podejścia, podjazdy oraz miejsca parkingoweApartament wyposażony w  instalację fotowoltaiczną, dzięki której są bardzo niskie koszty utrzymania !!!Współczynnik przenikania ciepła dla wszystkich przegród wynosi 0,12 W/m2K (jest to norma domów pasywnych).LOKALIZACJA :Osiedle oddalone jest tylko 5 minut jazdy od centrum miasta. W niewielkiej odległości znajduje się szkoła, przedszkole, przystanki autobusowe i lokalne sklepy. W sąsiedztwie nowa zabudowa jednorodzinna. Blisko tereny zielone, cicha i spokojna okolica. Zapraszamy na prezentację  - zadzwoń i umów się na spotkanie!

Agent prowadzący ofertę: Agnieszka Toś-Przybyłek, tel. 533 777 965

Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Agnieszka Toś-Przybyłek (licencja nr: 21733).

Oferujemy bezpłatną i fachową pomoc przy uzyskaniu najkorzystniejszego kredytu hipotecznego.
Opis oferty zawarty na stronie internetowej sporządzany jest na podstawie oględzin nieruchomości oraz informacji uzyskanych od właściciela, może podlegać aktualizacji i nie stanowi oferty określonej w art. 66 i następnych K.C.
Pokaż mniej ","3","pełna własność","https://www.otodom.pl/pl/oferta/sloneczny-apartament-energooszczedny-ID4mc5I","true","4mc5I"
